作者,ふりがな,ピンイン,時代,作者紹介,作者簡介
李白,りはく,lĭ bái,唐,"李 白（り はく、701年（長安元年） - 762年10月22日（宝応元年9月30日））は、中国盛唐の詩人。字は太白（たいはく）。号は青蓮居士[1]。唐代のみならず中国詩歌史上において、同時代の杜甫とともに最高の存在とされる。奔放で変幻自在な詩風から、後世「詩仙」と称される。
李白の出自および出身地には諸説あり、詳細は不明である。『旧唐書』本伝の記述では山東の出身とするが、清の王琦などをはじめ、通説はこれを誤りとする。
現在の中国における通説では、李白は西域に移住した漢民族の家に生まれ、幼少の頃、裕福な商人であった父について、西域から蜀の綿州昌隆県青蓮郷（現在の四川省江油市青蓮鎮）に移住したと推測する。
5歳頃から20年ほどの青少年期、蜀の青蓮郷を中心に活動した。伝記や自身が書いた文章などによると、この間、読書に励むとともに、剣術を好み、任侠の徒と交際したとある。
725年（開元13年）、25歳の頃、李白は蜀の地を離れ、以後10数年の間、長江中下流域を中心に、洛陽・太原・山東などの中国各地を放浪する。
李白の詩は、漢魏六朝以来の中国詩歌の世界を集大成したものとされる。「蜀道難」「将進酒」「廬山の瀑布を望む」「横江詞」などに見るダイナミックでスケールの大きい豪放さ、「玉階怨」「静夜思」の清澄で繊細な世界、「山中にて俗人に答ふ」「月下独酌」「山中にて幽人と対酌す」などに見える飄逸で超俗的な雰囲気など、詩の内容は多彩で変化に富んでいるが、総じて変幻自在で鮮烈な印象をもたらす点が特徴的である。得意とする詩型は、絶句と雑言古詩であり、とりわけ七言絶句にすぐれる。
",唐代伟大的浪漫主义诗人，誉为“诗仙”。其诗风豪放飘逸，想象极其丰富，语言清新自然。他一生傲岸不羁，热爱祖国山河，游踪遍及大江南北。他的诗歌带有强烈的主观色彩，多描写饮酒、游历、友谊与对仙界的向往，是盛唐气象的典型代表。代表作有《将进酒》《蜀道难》《静夜思》等。
劉禹錫,りゅううしゃく,líu yŭ xĭ,唐,"劉禹錫（りゅう うしゃく、772年 - 842年）は中国の唐代（中唐）期の詩人、政治家。字は夢得（ぼうとく）。自身は中山（河北省定県）出身と称したが、彭城（江蘇省徐州市）出身とも伝えられる。詩豪と呼ばれた。
代々儒学者として名があった家に生まれた。793年（貞元9年）進士に及第した。淮南節度使であった杜佑の配下で書記を務めた。その後、中央政界で同じ年に進士となった柳宗元とともに王叔文の党派に連なり、徳宗末期の貞元年間から順宗期を経て政治改革を推進した（永貞の革新）
815年（元和10年）、ようやく都長安に召還されたが、玄都観（道教の施設）で詠んだ詩が政府の主流派を揶揄する内容だったためその怒りにふれ、連州刺史に逆戻りとなった。劉禹錫は、狭量な性格ゆえにその地位が安定しなかった。その後も太子賓客となったり刺史となったりを繰り返した。
晩年は白居易と親交が深まり、元稹亡き後も詩を唱和し、その神妙さを讃えられた。最終的には検校礼部尚書・太子賓客で生涯を終えた。
左遷を経験したことから、楽府体の寓言詩で諷喩色の強い詩を詠んだ。例えば、蚊を小さい存在ながらも夏にはうるさく飛び回っては人を傷つけるさまを中央政界にいる佞臣に喩えた。いずれ冬が来れば蚊が絶えるように佞臣達も時の利を失って凋落するであろうとの意味を込めている。
また、各地で歌われていた歌曲に新たな歌辞をつくった。虁州（重慶市奉節県）刺史として赴任中には、この地の歌謡であった竹枝をもとにして「竹枝詞」を多く作ったことは有名である。",唐代诗人、哲学家。字梦得，称“诗豪”。其诗雄浑爽朗，多结合民歌特色，极富感染力。
柳宗元,りゅうそうげん,lĭu zōng yúan,唐,"柳宗元（りゅうそうげん、Liú Zōngyuán；大暦8年（773年） - 元和14年（819年））は、中国中唐の文学者・政治家。字は子厚（しこう）。本籍地の河東（山西省）から、「柳河東」「河東先生」と呼ばれる。また、その最後の任地にちなみ「柳柳州」と呼ばれることもある。王維や孟浩然らとともに自然詩人として名を馳せた。散文の分野では、韓愈とともに宋代に連なる古文復興運動を実践し、唐宋八大家の1人に数えられる。
彼は「王孟韋柳（おうもういりゅう）」と称される自然派の四詩人の一人で、有名な詩として「南澗（なんかん）中に題す」「漁翁」「江雪」などがある。文章家としては、韓愈とともに、形式にとらわれぬ古文運動を提唱し、六朝（りくちょう）以来、数百年にわたって文章は駢文（べんぶん）（四言・六言の対句づくりの文）と決まっていた流れを一変した。文に、南方の山水の美を写した『永州八記』、政治を風刺した「蛇を捕うる者の説」「種樹郭駝（しゅじゅかくたくだ）伝」、歴史的政治論の「封建論」、無神論的な「非国語」などがある。",唐代文学家、哲学家，“唐宋八大家”之一。字子厚。其山水游记刻画入微，富有诗情画意。
劉長卿,りゅうちょうけい,líu zhāng qīng,唐,河間（河北省）の出身。玄宗皇帝の天宝年間（742年 - 756年）の前後に生存したと思われる。733年に進士となる。756年に監察御史となり、ついで転運使判官になった。この後、讒言する者があり姑蘇の獄につながれたが、許されて睦州（浙江省）の司馬として左遷され、随州（河北省）の刺史で終わった。性剛直で権勢家に逆らうことが多かったという。詩文に長じ、権徳輿に「五言の長城」と称せられた。龍門八詠は古詩の傑作とされ、『唐詩選』には平蕃曲などを収める。劉長卿集10巻がある。,唐代诗人。字文房。其诗多抒发怀才不遇的情绪，五言律诗造诣极高，自称“五言长城”。
林升,りんしょう,lín shēng,南宋,林升（生没年月日不詳）、字は雲友、又は夢屏。南宋温州平陽（現在の浙江省）出身。詳しい生涯については分かっていないが、詩文に長けた人であった。主な作品に「水心集」、「与平陽林升卿謀葬父序」がある。,南宋诗人。字云友，一作云复。生平不详。其《题临安邸》讽刺了南宋统治者的偏安与腐朽。
羅隠,ろいん,lúo yĭn,唐,羅隠：五代の詩人。833年～910年。字は昭諫。本名は横。江東生と自号する。新城、（現在の浙江省富陽市新登鎮）出身。子供の頃より学業に優れ、特に彼の詩と文章は他を抜きんでいたため、他の同族二名と合わせ、「三羅」と称されていた。晩年、呉越王銭鏐に仕えて、銭塘県令などを任じた。後梁の朱全忠に諫議大夫として召されるが行かず。『舊唐書・列傳・羅弘信・子威』「錢塘人羅隱者，有當世詩名，自號江東生。」或いは「江東人羅隱者，佐錢鏐軍幕」（『舊五代史・梁書』）ともする。享年77歳であった。,晚唐诗人。字昭谏。其诗多讽刺社会黑暗，情感激愤，名句“采得百花成蜜后，为谁辛苦为谁甜”流传甚广。
盧綸,ろりん,lú lún,唐,"盧綸（ろ りん、約737～799年頃）は、中国・唐の詩人。河中蒲県（山西省永済県）の人。字は允言（いんげん）。孫は盧弼（盧汝弼）。
安禄山の乱を避けて鄱陽（江西省波陽）に移住し、大暦初年（767年頃）には都へ出て科挙を受験したが、何度も落第した。しかし宰相の元戴に才能を認められて、閿郷（河南省）の尉から検校戸部郎中・監察御史となり、病気のため辞職して家へ帰った。その後、河中府（山西省永済）を治めていた渾（こん）かん（王＋咸）に招かれて幕下に入り、さらに徳宗から都へ召されたが、出発する前に死んだ。大暦十才子の一人。
今、『盧戸部詩集』十巻が残っている。",唐代诗人，“大历十才子”之一。字允言。其边塞诗雄健豪放，描写军旅生活生动逼真。
曹操,そうそう,cáo cāo,三国時代,三国時代の英雄。建安文学の代表。,东汉末年杰出的政治家、军事家、文学家。三国中曹魏的奠基人。他的诗歌气魄雄伟，慷慨悲凉，多抒发统一天下的抱负和对战乱的感慨，是建安文学的代表。代表作《观沧海》《短歌行》。
陶淵明,とうえんめい,táo yuān míng,東晋,隠遁詩人の代表。田園詩の祖。,东晋至南朝宋时期的伟大诗人、辞赋家。被称为“隐逸诗人之宗”、“田园诗派之鼻祖”。他厌恶官场腐败，辞官归隐。其诗文语言质朴自然，意境恬淡深远，表现了对自由和乡村生活的向往。代表作《饮酒》《桃花源记》。
陳子昂,ちんすごう,chén zǐ áng,唐,初唐の詩人。唐詩復興の先駆者。,初唐著名诗人。他提倡汉魏风骨，反对六朝靡丽之风，是唐诗革新的先驱。其诗风骨峥嵘，气魄奇伟，充满慷慨悲壮的时代气息。代表作《登幽州台歌》。
張九齢,ちょうきゅうれい,zhāng jiǔ líng,唐,盛唐の政治家、詩人。,盛唐著名政治家、文学家。曾任宰相。他的诗歌清淡高雅，风格刚健，以五言古诗见长，抒写了高洁的政治理想和闲适的生活情趣。代表作《望月怀远》。
崔顥,さいこう,cuī hào,唐,盛唐の詩人。「黄鶴楼」で名高い。,盛唐著名诗人。早期诗风绮丽，后多写边塞风光与游侠生活，风格雄浑奔放。他的七律《黄鹤楼》被誉为唐人七律的压卷之作，连李白也为之叹服。
岑参,しんじん,cén shēn,唐,盛唐の辺塞詩人の代表。,盛唐著名边塞诗人，与高适并称“高岑”。他曾两次出塞，对边塞的风光、军旅生活和少数民族风情有深刻体验。其诗气势磅礴，色彩瑰丽，想象丰富奇特。代表作《白雪歌送武判官归京》。
韓愈,かんゆ,hán yù,唐,唐宋八大家の筆頭。古文復興の立役者。,中唐杰出的文学家、思想家，古文运动的领袖，“唐宋八大家”之首。他的诗风奇崛险怪，力求新意，散文气势雄浑，说理透彻，对后世影响极其深远。
李賀,りが,lǐ hè,唐,中唐の詩人。幻想的な詩風で「詩鬼」と呼ばれる。,中唐著名浪漫主义诗人，世称“诗鬼”。他的诗歌想象极为丰富奇特，多用神话传说，辞藻瑰丽华美，色彩浓烈，带有强烈的幻灭感和悲剧色彩。代表作《雁门太守行》《李凭箜篌引》。
李煜,りいく,lǐ yù,五代,南唐の最後の君主（後主）。詞の天才。,五代十国时南唐最后一位国君，世称南唐后主。他虽是不称职的君王，却是词史上的千古巨星。亡国后的词作抒发了深沉的故国之思和亡国之痛，境界开阔，语言纯净，被称为“千古词帝”。代表作《虞美人》《相见欢》。
晏殊,あんしゅ,yàn shū,北宋,北宋初期の詞人。婉約派。,北宋前期著名的政治家、词人。他的词风承袭南唐，语言清丽洗练，音韵和谐，多抒写闲情逸致与伤春悲秋之感，带有一种富贵雍容的气度。代表作《浣溪沙》。
欧陽脩,おうようしゅう,ōu yáng xiū,北宋,北宋の文壇の重鎮。唐宋八大家の一人。,北宋著名的政治家、文学家、史学家，“唐宋八大家”之一。他是北宋诗文革新运动的领袖。他的散文平易自然，词风婉约清丽，诗歌则风格多样。代表作《醉翁亭记》《蝶恋花》。
文天祥,ぶんてんしょう,wén tiān xiáng,南宋,南宋末期の忠臣。愛国詩人。,南宋末年杰出的民族英雄、爱国诗人。在国家危难之际挺身而出，兵败被俘后誓死不屈，慷慨就义。他的诗文充满了浩然正气和强烈的爱国情怀，感人肺腑。代表作《过零丁洋》《正气歌》。
馬致遠,ばちえん,mǎ zhì yuǎn,元,元曲の四大家の一人。,元代著名的戏曲家、散曲家，与关汉卿等人并称“元曲四大家”。他的散曲以凄凉悲怆的秋思见长，意境深远，语言精炼脱俗，被誉为“秋思之祖”。代表作《天净沙·秋思》。
佚名,いつめい,yì míng,古代,作者不明の作品。,指作者姓名未流传下来的古代优秀诗歌，如《古诗十九首》等，它们多为汉代文人或民间创作，是中国古典诗歌的瑰宝。
王湾,おうわん,wáng wān,唐,唐代の詩人。,唐代诗人。他的五言律诗造诣较高，名句“海日生残夜，江春入旧年”不仅描绘了壮丽的江景，更蕴含着新旧交替的自然理趣。
張若虚,ちょうじゃくきょ,zhāng ruò xū,唐,初唐の詩人。「春江花月夜」で名高い。,初唐诗人。与贺知章等人并称“吴中四士”。他留存下来的诗作极少，但仅凭一首《春江花月夜》便“孤篇压全唐”，奠定了他在唐诗史上的不朽地位。
柳永,りゅうえい,liǔ yǒng,北宋,北宋の詞人。婉約派の代表。,北宋著名词人，婉约派代表人物。他精通音律，大量创作慢词，其词多描绘城市风光和市井风情，语言通俗，在当时有“凡有井水饮处，皆能歌柳词”之说。
岳飛,がくひ,yuè fēi,南宋,南宋の抗金名将、民族の英雄。,南宋抗金名将、杰出的民族英雄和爱国词人。他一生精忠报国，其词作《满江红》慷慨激昂，气壮山河，表现了极其强烈的爱国情怀与收复失地的决心。
秦観,しんかん,qín guān,北宋,北宋の詞人。蘇門四学士の一人。,北宋婉约派词人，“苏门四学士”之一。其词辞情隽美，意境凄迷，多写男女情爱与身世悲凉，被尊为婉约派的一代词宗。
納蘭性徳,ならんせいとく,nà lán xìng dé,清,清代の満州族の詞人。,清代著名满族词人。他的词以“真”取胜，清丽婉约，哀感顽艳，多抒发真挚的爱情与满腔的幽怨，有“清代第一词人”之誉。
唐寅,とういん,táng yín,明,明代の画家、文学者。江南の四大才子。,明代著名画家、文学家，号伯虎。江南四大才子之一。他才华横溢，为人狂放不羁，其诗多抒发对世态炎凉的感慨及隐逸闲适的追求。
屈原,くつげん,qū yuán,戦国時代,楚の政治家、詩人。楚辞の代表的作家。,战国时期楚国著名的政治家、伟大的爱国主义诗人。中国浪漫主义文学的奠基人，“楚辞”的创立者。他深爱自己的祖国，因屡遭排挤流放，最终在楚国都城被攻破后，投汨罗江殉国。代表作《离骚》《天问》。
王績,おうせき,wáng jì,唐,初唐の詩人。自然を愛した隠遁者。,初唐诗人。性格简傲，嗜酒如命，曾三仕三隐。他的诗风清新自然，洗去了齐梁时期的浮华绮丽，为唐诗的健康发展开辟了道路。代表作《野望》。
元稹,げんしん,yuán zhěn,唐,中唐の詩人。白居易の親友（元白）。,中唐著名诗人，与白居易同为新乐府运动的倡导者，世称“元白”。他的诗辞浅意哀，极为动人，特别是悼亡诗写得缠绵悱恻，千古传诵。代表作《遣悲怀》《离思》。
王冕,おうべん,wáng miǎn,元,元代末期の画家、詩人。梅の絵で有名。,元朝著名隐士、画家、诗人。他出身贫寒，白天放牛，晚上去寺庙借长明灯读书。他一生爱好梅花，种梅、咏梅、画梅，以梅花的高洁自喻。代表作《墨梅》。
晏幾道,あんきどう,yàn jǐ dào,北宋,北宋の詞人。晏殊の七男。,北宋著名词人，宰相晏殊的第七子，世称“小晏”。他一生痴情孤傲，晚年家道中落。其词风婉约，多写离愁别绪与追忆往事，语言极其精美凄婉。
