タイトル,作者名,時代,漢詩本文,和訳,解説
池上,白居易,唐,"小娃撑小艇
偸採白蓮回
不解蔵踪跡
浮萍一道開",小さな子供が小舟を操り、こっそりと白蓮を摘んで帰ってきた。自分の足跡を隠すことを知らないので、水面の浮き草が一本の道のように開いてしまっている。,通过描写小孩偷采白莲的趣事，生动表现了儿童的天真活泼与纯真可爱。
蜂,羅隠,唐,"不論平地与山尖
無限風光尽被占
採得百花成蜜後
為誰辛苦為誰甜",平地であれ山の頂であれ、至る所の美しい景色はすべて蜂に占められている。百の花から蜜を採り集めた後、一体誰のために苦労し、誰のために甘い思いをさせているのだろうか。,诗人通过对蜜蜂辛勤劳动的赞美，歌颂了为他人创造幸福、不求回报的劳动者，寓意深刻。
小児垂釣,胡令能,唐,"蓬頭稚子学垂綸
側坐苺苔草映身
路人借問遥招手
怕得魚驚不応人",髪をボサボサにした子供が釣り糸を垂れるのを学んでいる。苔の上に横向きに座り、草にその身を隠している。通りがかりの人が道を尋ねると、遠くから手を振って合図する。魚が驚いて逃げるのを恐れて、声を出して応えることはしないのだ。,生动捕捉了小孩钓鱼时怕人惊动鱼儿而不敢招手的情态，极富生活情趣。
江上漁者,范仲淹,北宗,"江上往来人
但愛鱸魚美
君看一葉舟
出没風波里",川を行き交う人々は、ただスズキの身が美味しいことだけを喜んでいる。君、あの木の葉のような一艘の舟を見てごらん。激しい風や波の中で、見え隠れしながら命がけで漁をしているのを。,通过对渔民在风浪中捕鱼的描写，表达了诗人对劳动人民艰辛生活的深切同情。
書湖陰先生壁,王安石,北朝,"茅檐長掃浄無苔
花木成蹊手自栽
一水護田将緑繞
両山排闥送青来",茅葺きの軒先はいつも掃除されて苔一つなく、花や木は持ち主が自ら植えたので立派な道を作っている。一本の川が田を守るように緑を巡らせ、二つの山は門を押し開くかのように青々とした姿を届けてくれる。,描写了湖阴先生庭院内外的清静景色，表现了诗人对自然生活的热爱和对主人的赞美。
四時田園雑興(2),范成大,南宋,"昼出耘田夜績麻
村荘児女各当家
童孫未解供耕織
也傍桑陰学種瓜",昼間は田に出て草をむしり、夜は麻を紡ぐ。村の男も女も、それぞれが家の仕事に精を出している。孫たちはまだ耕したり織ったりすることはできないが、それでも桑の木陰で瓜を植える真似をして遊んでいる。,生动地描绘了农村初夏忙碌而又和谐的劳动场面。老少各尽其力，充满了浓郁的生活气息和人情味。
郷村四月,翁巻,明,"緑遍山原白満川
子規声裏雨如煙
郷村四月閑人少
才了蚕桑又挿田",山や野原は緑に覆われ、川の水面は白く輝いている。ホトトギスの鳴き声が響く中、煙のような霧雨が降っている。農村の四月は暇な人など一人もいない。蚕の世話が終わったと思ったら、すぐに田植えの仕事が始まるのだ。,描写了农历四月农村劳动的繁忙景象。前两句写景，后两句叙事，展现了劳动人民勤劳质朴的精神面貌。
所見,袁枚,唐,"牧童騎黄牛
歌声振林樾
意欲捕鳴蝉
忽然閉口立",牧童が黄牛にまたがり、その歌声が林の中に響き渡っている。不意に鳴いている蝉を捕まえようと思い立ち、パッと口を閉じてじっと立っている。,描写了牧童骑牛歌唱、忽然闭口立的情景，通过对儿童天真神态的捕捉，充满了生活气息。
村居,高鼎,清,"草長鶯飛二月天
拂堤楊柳酔春煙
児童散学帰来早
忙趁東風放紙鳶",草が伸びウグイスが舞う二月の空。堤防をなでる柳は春の霞に酔っているようだ。子供たちは学校が終わると早く帰ってきて、東風に乗せていそいそと凧を揚げている。,描写了春天乡村孩子们放风筝的欢快情景，生动地展现了农村春天的勃勃生机。
観滄海,曹操,三国時代,"東臨碣石，以観滄海。
水何澹澹，山島竦峙。
樹木叢生，百草豊茂。
秋風蕭瑟，洪波涌起。
日月之行，若出其中。
星漢燦爛，若出其裏。
幸甚至哉，歌以詠志。","東の方、碣石山に登り、青海原を見下ろす。
水はどこまでもゆったりと広がり、島々がそそり立っている。
木々は群れ生え、様々な草が豊かに茂っている。
秋風が物寂しく吹き抜け、大きな波が湧き上がる。
太陽や月の運行も、この海の中から出ているかのようだ。
天の川のきらめきも、この海の中から出ているかのようだ。
ああ、素晴らしいことだ。この感動を歌にして志を詠もう。",这是建安文学的代表作之一。曹操通过描绘秋日大海吞吐日月、包蕴万千的壮丽景象，表现了诗人开阔的胸襟和统一天下的宏伟抱负，气魄雄浑，意境开阔。
短歌行,曹操,三国時代,"対酒当歌，人生幾何。
譬如朝露，去日苦多。
慨当以慷，憂思難忘。
何以解憂，唯有杜康。
青青子衿，悠悠我心。
但為君故，沈吟至今。
呦呦鹿鳴，食野之苹。
我有嘉賓，鼓瑟吹笙。
明明如月，何時可掇。
憂従中来，不可断絶。
越陌度阡，枉用相存。
契闊談讌，心念旧恩。
月明星稀，烏鵲南飛。
繞樹三匝，何枝可依。
山不厭高，海不厭深。
周公吐哺，天下帰心。","酒を前にしては歌うべきだ。人生はどれほどのものか。
朝露のように儚く、過ぎ去った日はあまりにも多い。
心を高ぶらせて嘆き悲しむが、憂いの思いは忘れがたい。
何を以てこの憂いを解こうか。それは酒（杜康）しかない。
青い襟の君たちよ、私の心はどこまでも君たちを想っている。
ただ君たち（賢才）のために、今日まで深く考え詠んできたのだ。
鹿はヨウヨウと鳴きながら、野の草を食べている。
私に立派な賓客が来てくれれば、瑟を弾き笙を吹いてもてなそう。
あの明るい月のように輝く人材を、いつになれば得られるだろうか。
憂いは心の中から湧き起こり、断ち切ることができない。
あぜ道を越えて、わざわざ私を慰問しに来てくれた。
久方ぶりの再会で語り合い酒宴を開き、昔の恩を心に念じる。
月は明るく星はまばらで、カササギが南へ飛んでいく。
木を三回りしても、どの枝に身を寄せればよいのか分からないのだ。
山は高さを厭わず、海は深さを厭わない。
周公が食事を吐き出してまで賢人をもてなしたように、私も天下の人心を帰服させたいのだ。",这首诗表达了曹操感叹时光易逝，以及对招揽贤才、建功立业的急切渴望。“周公吐哺，天下归心”的千古绝唱，将诗人的宏大政治抱负展现得淋漓尽致。
送杜少府之任蜀州,王勃,唐,"城闕輔三秦，風煙望五津。
与君離別意，同是宦游人。
海内存知己，天涯若比隣。
無為在岐路，児女共沾巾。","長安の都は三秦の地に守られ、風や霞の彼方には遠く蜀の五津を望む。
君と別れを惜しむこの気持ち、お互いに役人として故郷を離れ旅する身だからこそだ。
この広い世界に自分を理解してくれる友がいるなら、たとえ天の果てに離れていても、まるで隣人のようなものだ。
だから分かれ道に立って、子供や女のように共に涙でハンカチを濡らすようなことはやめようではないか。",这是一首送别诗，打破了传统送别诗的凄凉与哀愁。以“海内存知己，天涯若比邻”的豁达胸襟，展现了初唐气象的壮阔与昂扬。
登幽州台歌,陳子昂,唐,"前不見古人，
後不見来者。
念天地之悠悠，
独愴然而涕下。","前に過ぎ去った昔の賢人を見ることはなく、
後に生まれてくるであろう未来の賢人を見ることもない。
天地の悠久で果てしないことを思い、
私は独り悲しみに沈み、涙を流すのだ。",诗人在幽州台上俯瞰天地，感叹宇宙的浩瀚与个人生命的短暂，抒发了怀才不遇的极其深沉的孤独感与历史沧桑感。悲壮苍凉，震撼人心。
望月懐遠,張九齢,唐,"海上生明月，天涯共此時。
情人怨遥夜，竟夕起相思。
滅燭怜光満，披衣覚露滋。
不堪盈手贈，還寝夢佳期。","海の上に名月が昇り、天の果てにいるあなたもこの同じ時を共有しているだろう。
情愛深い人は夜が長いのを怨み、一晩中起きては恋しい思いを募らせている。
蝋燭を消して満ちる月の光を愛でるが、上着を羽織ると夜露の湿り気を感じる。
この素晴らしい月の光を両手ですくって贈ることもできないので、再び眠りにつき、夢の中で良き再会の日を願うとしよう。",“海上生明月，天涯共此时”是千古传诵的咏月怀乡名句。诗人通过月夜的描写，抒发了对远方亲人的深切思念，意境清幽，情感真挚。
使至塞上,王維,唐,"単車欲問辺，属国過居延。
征蓬出漢塞，帰雁入胡天。
大漠孤煙直，長河落日円。
蕭関逢候騎，都護在燕然。","一両の馬車で辺境の様子を尋ねようと、属国を越えて居延の地へ向かう。
風に吹かれる蓬のように漢の砦を出て、北へ帰る雁のように胡（異民族）の空へと入っていく。
広大な砂漠には一筋の狼煙が真っ直ぐに立ち上り、黄河の果てには落日が丸く沈んでいく。
蕭関で偵察の騎兵に出会って尋ねると、将軍は燕然山で戦っているとのことだ。",这是王维奉命出塞慰问将士时所作。“大漠孤烟直，长河落日圆”以极其精炼的笔触，描绘了边塞奇特壮丽的风光，画面感极强，被赞为“千古壮观”。
山居秋暝,王維,唐,"空山新雨後，天気晩来秋。
明月松間照，清泉石上流。
竹喧帰浣女，蓮動下漁舟。
随意春芳歇，王孫自可留。","人気のない山に新たな雨が降った後、夕暮れの空気にはすっかり秋の気配が漂っている。
名月が松の枝葉の間に差し込み、清らかな泉が岩の上を流れている。
竹林が騒がしいのは洗濯の女たちが帰ってきたからで、蓮の葉が揺れるのは漁の小舟が川を下ってきたからだ。
春の芳しい花々は勝手に散っていくがよい。私（王孫）はこの秋の山の景色の中になお留まることができるのだから。",这首诗如同一幅清新秀丽的秋日山水画。“明月松间照，清泉石上流”不仅写出了自然之美，更折射出诗人高洁清雅的内心世界。
行路難・其一,李白,唐,"金樽清酒斗十千，玉盤珍羞直万銭。
停杯投箸不能食，抜剣四顧心茫然。
欲渡黄河冰塞川，将登太行雪暗天。
閑来垂釣碧渓上，忽復乗舟夢日辺。
行路難，行路難，多岐路，今安在。
長風破浪会有時，直挂雲帆済滄海。","金の樽に入った清酒は一斗一万銭、玉の皿に盛られたご馳走は一万銭の価値がある。
だが杯を置き箸を投げて食べる気になれず、剣を抜いて四方を見回し、心は茫然とするばかりだ。
黄河を渡ろうとすれば氷が川を塞ぎ、太行山脈に登ろうとすれば雪が空を暗く覆っている。
太公望のように緑の渓流で釣りをしてみたり、伊尹のように船に乗って太陽のそばに行く夢をみたりしたこともあったが。
人生の道のりは険しい、道のりは険しい。分かれ道が多いが、私の進むべき道は今どこにあるのか。
しかし、いつか必ず長風に乗って荒波を打ち破る時が来るだろう。その時は雲のように白い帆を高く掲げて、広大な海を渡っていくのだ。",此诗写于李白被迫离开长安之时。诗中通过丰富的想象和典故，抒发了政治上遭遇挫折的苦闷，但最终表现出一种自信、乐观、永不言败的倔强性格。“长风破浪会有时”激励了无数后人。
将進酒,李白,唐,"君不見黄河之水天上来，奔流到海不復回。
君不見高堂明鏡悲白髪，朝如青絲暮成雪。
人生得意須尽歓，莫使金樽空対月。
天生我材必有用，千金散尽還復来。
烹羊宰牛且為楽，会須一飲三百杯。
岑夫子，丹丘生，将進酒，杯莫停。
与君歌一曲，請君為我傾耳聴。
鐘鼓饌玉不足貴，但願長酔不願醒。
古来聖賢皆寂寞，惟有飲者留其名。
陳王昔時宴平楽，斗酒十千恣歓謔。
主人何為言少銭，径須沽取対君酌。
五花馬，千金裘，呼児将出換美酒，与爾同銷万古愁。","君は見ないか、黄河の水が天の彼方から流れ来て、奔流となって海へ至り二度と戻らないのを。
君は見ないか、立派な館の鏡の前で白髪を悲しむのを。朝には黒髪だったものが夕暮れには雪のように白くなるのを。
人生で得意な時があれば大いに楽しむべきだ。金の杯を空のまま名月に向けてはならない。
天が私という才能を生み出したからには必ず役に立つ時が来る。千金など使い果たしてもまた戻ってくるものだ。
羊を煮て牛を屠り、さあ楽しもう。飲むからには一度に三百杯は飲まねばなるまい。
岑夫子（しんふうし）、丹丘生（たんきゅうせい）よ、さあ酒を飲もう、杯を止めてはならない。
君たちのために一曲歌おう、どうか私のために耳を傾けて聴いてくれ。
贅沢な音楽やご馳走など貴いものではない、ただ長く酔っていたい、醒めたくはないのだ。
古来、聖人や賢人はみな寂寞として消え去ったが、ただ酒飲みだけがその名を残しているではないか。
昔、陳王（曹植）は平楽観で宴会を開き、一斗一万銭の酒を飲んで大いに楽しんだという。
主人である私がどうして金が少ないなどと言おうか、すぐに酒を買ってきて君と酌み交わそう。
五色の毛並みの名馬でも、千金もする毛皮の衣でも、子供を呼んで美酒と引き換えにさせ、君たちと一緒に万古の愁いを吹き飛ばそうではないか！",这是李白最负盛名的长篇歌行之一。诗中不仅淋漓尽致地抒发了诗人的万古愁与不羁的性格，还展现了他极其豪迈的气魄和强烈的自信。“天生我材必有用”成为激励无数人的千古名句。
黄鶴楼,崔顥,唐,"昔人已乗黄鶴去，此地空余黄鶴楼。
黄鶴一去不復返，白雲千載空悠悠。
晴川歴歴漢陽樹，芳草萋萋鸚鵡洲。
日暮郷関何処是，煙波江上使人愁。","昔の仙人はすでに黄鶴に乗って飛び去り、ここには黄鶴楼だけがむなしく残されている。
黄鶴は一度飛び去ったきり二度と戻らず、白雲だけが千年の間、空を悠々と流れている。
晴れ渡った川の向こうには漢陽の木々がくっきりと見え、鸚鵡洲には芳しい草が青々と茂っている。
日が暮れて、私の故郷はどこにあるのだろうか。川面に立ち込めるもやが、旅人を一層の愁いに誘うのだ。",这首诗被誉为“唐人七律第一”。相传李白登黄鹤楼本欲赋诗，看到此诗后感叹“眼前有景道不得，崔颢题诗在上头”。诗中融合了神话传说、眼前壮景与无尽的乡愁，气象宏大，音调悲凉。
白雪歌送武判官帰京,岑参,唐,"北風巻地白草折，胡天八月即飛雪。
忽如一夜春風来，千樹万樹梨花開。
散入珠簾湿羅幕，狐裘不暖錦衾薄。
将軍角弓不得控，都護鉄衣冷難着。
瀚海闌干百丈冰，愁雲惨淡万里凝。
中軍置酒飲帰客，胡琴琵琶与羌笛。
紛紛暮雪下轅門，風掣紅旗凍不翻。
輪台東門送君去，去時雪満天山路。
山回路転不見君，雪上空留馬行処。","北風が地を巻き上げるように吹き荒れ白い草が折れ、胡の空では八月にはもう雪が舞う。
まるで一夜にして春風が吹き、千万の木々に梨の花が一斉に咲き誇ったかのようだ。
雪は珠のすだれを抜けて絹の幕を濡らし、狐の毛皮も暖かくなく、錦の布団も薄く感じる。
将軍の角張った弓は凍えて引くことができず、都護の鉄の鎧は冷たすぎて着るのが難しい。
砂漠には百丈もの氷が横たわり、憂鬱な雲が万里にわたって重苦しく固まっている。
本陣で酒宴を開いて帰る客をもてなすが、胡琴、琵琶、羌笛の音が響き渡る。
夕暮れの陣門に雪がしんしんと降り、風が赤い旗を引っ張るが凍りついて翻らない。
輪台の東門で君を見送るが、去り行く天山への道は雪で覆い尽くされている。
山を回り道が曲がって君の姿は見えなくなり、ただ雪の上に馬の足跡だけが空しく残っている。",这是一首极具浪漫色彩的边塞送别诗。“忽如一夜春风来，千树万树梨花开”以春花比喻冬雪，想象奇特。全诗既描绘了塞外奇寒壮丽的风光，又表达了深沉的战友之情。
登高,杜甫,唐,"風急天高猿嘯哀，渚清沙白鳥飛回。
無辺落木蕭蕭下，不尽長江滾滾来。
万里悲秋常作客，百年多病独登台。
艱難苦恨繁霜鬢，潦倒新停濁酒杯。","風は激しく天は高く、猿の鳴き声が哀しく響く。水際や砂浜は清らかで白く、鳥たちが飛び回っている。
見渡す限りの枯れ葉がヒュルヒュルと散り落ち、果てしない長江の水がこんこんと流れてくる。
万里も離れた異郷で悲しい秋を迎え、常に旅の身である私は、一生病がちの体で独り高台に登る。
数々の艱難辛苦が恨めしく、白髪はますます増え、老いぼれた今は濁酒の杯を止めたばかりである。",此诗被誉为“古今七言律诗之冠”。不仅对仗极其工整，更蕴含着极大的悲剧力量。杜甫将个人的衰老病苦、国家的动荡与宇宙的浩瀚交织在一起，悲凉之中透出雄阔壮美。
蜀相,杜甫,唐,"丞相祠堂何処尋，錦官城外柏森森。
映階碧草自春色，隔葉黄鸝空好音。
三顧頻煩天下計，両朝開済老臣心。
出師未捷身先死，長使英雄涙満襟。","丞相（諸葛亮）の霊廟はどこに尋ねればよいだろうか。錦官城（成都）の郊外、柏の木が鬱蒼と茂っているところだ。
石段に映える緑の草はただ自然に春の色を見せ、葉越しに鳴くウグイスの美しい声も虚しく響く。
三顧の礼の厚意に応え、天下三分の計を立て、先主（劉備）と後主（劉禅）の二代にわたって国を開き救った老臣の忠心。
しかし、出陣してまだ勝利を得ないうちに身は先んじて死んでしまった。その無念さは、後世の英雄たちの襟をいつまでも涙で濡らさせるのだ。",这是杜甫凭吊诸葛亮的一首名作。前四句借景抒情，后四句高度概括了诸葛亮伟大而悲壮的一生。“出师未捷身先死，长使英雄泪满襟”道出了无数壮志未酬者的悲慨。
茅屋為秋風所破歌,杜甫,唐,"八月秋高風怒号，巻我屋上三重茅。
茅飛渡江灑江郊，高者掛罥長林梢，下者飄転沈塘坳。
南村群童欺我老無力，忍能対面為盗賊。
公然抱茅入竹去，唇焦口燥呼不得，帰来倚杖自嘆息。
俄頃風定雲墨色，秋天漠漠向昏黒。
布衾多年冷似鉄，嬌児悪臥踏裏裂。
床頭屋漏無干処，雨脚如麻未断絶。
自経喪乱少睡眠，長夜沾湿何由徹！
安得広廈千万間，大庇天下寒士倶歓顔！
風雨不動安如山。
嗚呼！何時眼前突兀見此屋，吾廬独破受凍死亦足！","（前半略）ああ、どこかに一千万間もの巨大な屋敷を得て、天下の寒さをしのぐ貧しい人々をすべて庇い、笑顔にすることはできないだろうか。
風雨にも揺るがず、山のように安定した家を。
ああ！いつの日か目の前にそのような家がそびえ立つのが見られるなら、私の粗末な小屋だけが破れ、私自身が凍え死んだとしても、それで満足だ！",杜甫饱受狂风破屋、凄雨苦寒之苦，却在绝境中发出了“大庇天下寒士俱欢颜”的宏大呼唤。这种超越个人苦难、推己及人的博大胸怀与人道主义精神，是其被称为“诗圣”的重要原因。
早春呈水部張十八員外,韓愈,唐,"天街小雨潤如酥，草色遥看近却無。
最是一年春好処，絶勝烟柳満皇都。","長安の通りに降る小雨は、酥（乳脂肪）のように滑らかで潤いがある。草の緑は遠くから見るとうっすらと色づいているが、近寄ってみると見えない。
この早春の時期こそが一年で一番素晴らしい。都いっぱいに柳の霞が立ち込める晩春よりも、はるかに勝っているのだ。",韩愈这首诗极尽工巧地描绘了早春极其细微的景象。“草色遥看近却无”是观察入微的千古名句，表达了诗人对生机勃勃的早春的无限喜爱。
秋詞,劉禹錫,唐,"自古逢秋悲寂寥，我言秋日勝春朝。
晴空一鶴排雲上，便引詩情到碧霄。","古来、秋といえば物寂しいと悲しむものだが、私は秋の日こそ春の朝よりも優れていると言う。
晴れ渡った空へ一羽の鶴が雲を押し退けて舞い上がっていく。それを見ていると、私の詩情も青空の彼方へと引き上げられていくのだ。",传统的秋天总是伴随着悲凉，但刘禹锡却反其道而行之。这首诗格调高昂，充满了奋发向上的力量和积极乐观的人生态度。
売炭翁,白居易,唐,"売炭翁，伐薪焼炭南山中。
満面塵灰煙火色，両鬢蒼蒼十指黒。
売炭得銭何所営，身上衣裳口中食。
可怜身上衣正単，心憂炭賤願天寒。
（中略）
一車炭，千余斤，宮使駆将惜不得。
半匹紅紗一丈綾，繋向牛頭充炭直。","炭売りの老人は、南山の中で木を切り炭を焼いている。
顔中灰だらけで煙の色に染まり、もみあげは白く十本の指は真っ黒だ。
炭を売って得たお金で何をするのかといえば、身に着ける着物と口に入れる食べ物だけだ。
可哀想に身に着けている着物はとても薄いのに、炭が安くならないようにもっと寒くなってほしいと願っている。
（中略）千斤以上もある一車の炭を、宮中からの使者が強引に奪っていく。
赤い紗半匹と綾一丈を牛の頭に結びつけ、これが炭の代金だと言うのだ。",这是白居易《新乐府》中的名篇。诗人以极大的同情心描绘了卖炭翁的悲惨遭遇，深刻揭露了当时“宫市”对底层劳动人民的残酷剥削，批判锋芒极其锐利。
泊秦淮,杜牧,唐,"煙籠寒水月籠沙，夜泊秦淮近酒家。
商女不知亡国恨，隔江猶唱後庭花。","もやが冷たい水面を包み、月の光が砂辺を包んでいる。夜、秦淮川に舟を泊めると酒場のすぐ近くだった。
歌姫たちは亡国の恨みなど知る由もなく、川を隔てたこちらまで、いまだに（陳の後主が作った亡国の歌）「玉樹後庭花」を歌っている。",杜牧借夜泊秦淮所听到的靡靡之音，讽刺了晚唐统治阶级沉溺声色、不顾国家安危的腐朽生活，表达了深沉的历史忧患感。
夜雨寄北,李商隠,唐,"君問帰期未有期，巴山夜雨漲秋池。
何当共剪西窓燭，却話巴山夜雨時。","あなたは帰る日はいつかと尋ねるが、帰る日はまだ決まっていない。ここ巴山では夜の雨が秋の池を溢れさせている。
いつになれば、西の窓辺で共にロウソクの芯を切りながら、「あの時の巴山の夜の雨はこうだったね」と思い出を語り合えるだろうか。",这是一首情意绵绵的寄情诗。诗人身处巴山夜雨的孤寂中，通过想象未来重逢时的情景，将当前的愁苦与对未来的期盼交织在一起，构思巧妙，令人回味无穷。
水調歌頭,蘇軾,北宋,"明月幾時有？把酒問青天。
不知天上宮闕，今夕是何年。
我欲乗風帰去，又恐瓊楼玉宇，高処不勝寒。
起舞弄清影，何似在人間。

転朱閣，低綺戸，照無眠。
不応有恨，何事長向別時円？
人有悲歓離合，月有陰晴円缺，此事古難全。
但願人長久，千里共嬋娟。","（前半略）名月よ、人に対して恨みなどないはずなのに、なぜ人々が離れ離れになっている時に限って丸く輝くのか。
人には悲しみや喜び、出会いや別れがあり、月には陰りや晴れ、満ち欠けがある。これらが全て完全であることは昔から難しいことなのだ。
ただ願うのは、お互いがいつまでも健やかに生き、たとえ千里離れていても、この美しい月を共に眺められることだ。",苏轼在中秋之夜醉后思念弟弟苏辙所作。全词将神话仙境与人间现实、哲学思考与真挚情感完美结合，“但愿人长久，千里共婵娟”成为了中华民族表达美好祝愿的最强音。
声声慢,李清照,南宋,"尋尋覓覓，冷冷清清，凄凄惨惨戚戚。
乍暖還寒時候，最難将息。
三杯両盞淡酒，怎敵他、晩来風急？
雁過也，正傷心，却是旧時相識。

満地黄花堆積，憔悴損，如今有誰堪摘？
守著窓児，独自怎生得黒？
梧桐更兼細雨，到黄昏、点点滴滴。
這次第，怎一个愁字了得！","何かを探し求めるようにうろつき、冷たく寂しい空気の中、ひたすら悲しく心が塞ぐ。
暖かくなったかと思えばまた寒くなるこの時期は、最も体を休めにくい。
二、三杯の薄い酒では、夕暮れの急な風の冷たさに耐えられようか。
雁が鳴いて通り過ぎていく。まさに心を痛めている時に、あれは昔馴染みの鳥ではないか。
（後半略）庭いっぱいに散り積もった菊の花はすっかり憔悴し、今となっては誰が摘もうとするだろうか。
窓辺に座り、一人でどうやって暗くなるまで過ごせばいいのか。
おまけに梧桐（アオギリ）の葉に細い雨が降りかかり、黄昏時にはポツリポツリと音を立てる。
この有様を、どうして「愁」という一文字だけで片付けることができようか！",这是李清照晚年最著名的词作。开篇连用十四个叠字，营造出一种极其凄清悲凉的氛围。词中不仅抒发了失去丈夫的个人悲痛，更融入了国破家亡的深重哀愁，艺术感染力极强。
過零丁洋,文天祥,南宋,"辛苦遭逢起一経，干戈寥落四周星。
山河破碎風飄絮，身世浮沈雨打萍。
惶恐灘頭説惶恐，零丁洋裏嘆零丁。
人生自古誰無死？留取丹心照汗青。","苦労を重ねて経書を学び科挙に受かったが、戦乱の中で戦い続けて四年が過ぎた。
祖国の山河は砕け散って風に舞う柳の綿のようであり、私自身の身の上も雨に打たれる浮き草のように沈んでは浮かぶ。
惶恐灘（こうきょうだん）のほとりで惶恐（恐れおののく）の思いを語り、零丁洋（れいていよう）の中で零丁（孤独）を嘆く。
人生、古より誰か死なない者があろうか。いや、誰もが死ぬ。ただこの真っ赤な真心（忠誠心）を残して、歴史の竹簡を照らしたいのだ。",文天祥兵败被俘后所作。面对敌人的威逼利诱，他以极其悲壮的笔触回顾了国破家亡的惨痛经历，并在最后发出了“人生自古谁无死，留取丹心照汗青”的千古壮语，展现了极其崇高的民族气节。
天浄沙·秋思,馬致遠,元,"枯藤老樹昏鴉，
小橋流水人家，
古道西風痩馬。
夕陽西下，
断腸人在天涯。","枯れた蔓が巻き付く老木、夕暮れのカラス。
小さな橋、せせらぐ流水、ひっそりとした人家。
古い道を、西風に吹かれて歩く痩せた馬。
夕陽が西へと沈んでいく。
腸（はらわた）がちぎれるほど悲しむ旅人は、はるか天の果てにいる。",这是元曲中最为著名的散曲之一，被称为“秋思之祖”。短短二十八字，完全由名词意象叠加而成，如同一幅充满深秋萧瑟气氛的图画，淋漓尽致地表达了游子漂泊他乡的凄苦之情。
飲酒・其五,陶淵明,東晋,"結廬在人境，而無車馬喧。
問君何能爾，心遠地自偏。
採菊東籬下，悠然見南山。
山気日夕佳，飛鳥相与還。
此中有真意，欲弁已忘言。","人里に庵を結んで住んでいるが、馬車の騒がしい音は聞こえない。
君に問う、どうしてそんなことができるのかと。心が遠く離れていれば、場所も自然と辺鄙に感じるものだ。
東の垣根の下で菊を採り、悠然と南の山（廬山）を眺める。
山の気配は夕暮れ時が素晴らしく、飛ぶ鳥たちが連れ立ってねぐらへ帰っていく。
この自然の営みの中には真の人生の意義があるのだが、それを言い表そうとして、すでに言葉を忘れてしまった。",这是陶渊明隐居生活的写照。“采菊东篱下，悠然见南山”描绘了诗人超然脱俗、与自然融为一体的恬静心境，是中国古典诗歌中隐逸精神的最高境界。
涼州詞,王翰,唐,"葡萄美酒夜光杯，欲飲琵琶馬上催。
酔臥沙場君莫笑，古来征戦幾人回？","夜光杯に注がれた葡萄の美酒。飲もうとすると馬上で琵琶が急き立てるように鳴り響く。
酔いつぶれて砂漠の戦場に倒れ伏しても、君よどうか笑わないでくれ。古来、この戦地から生きて帰れた者がどれほどいるというのか。",这首边塞诗悲壮而不哀伤。通过描写出征前的盛大酒宴，展现了将士们将生死置之度外、豪放旷达的英雄气概。
芙蓉楼送辛漸,王昌齢,唐,"寒雨連江夜入呉，平明送客楚山孤。
洛陽親友如相問，一片冰心在玉壺。","冷たい雨が川に連なるように降り、夜の呉の地へ入ってきた。夜明けに客（辛漸）を見送ると、楚の山がぽつんと孤立して見える。
洛陽にいる親戚や友人がもし私のことを尋ねたなら、玉の壺の中にある一片の氷のように、私の心は今も清らかであると答えてくれ。",这是一首构思奇巧的送别诗。诗人没有倾诉离愁别绪，而是以“一片冰心在玉壶”来自喻，表达了自己不慕名利、清廉刚直的高尚操守。
鹿柴,王維,唐,"空山不見人，但聞人語響。
返景入深林，復照青苔上。","ひっそりとした山には人の姿は見えず、ただ人の話し声だけが響いてくる。
夕日の光が深い林の奥へと差し込み、再び青々とした苔の上を照らしている。",这是王维《辋川集》中的名篇。诗中以“动”写“静”，通过人语和夕阳的反衬，极度渲染了深林深处的空灵与幽静，充满禅意。
送元二使安西,王維,唐,"渭城朝雨浥軽塵，客舎青青柳色新。
勧君更尽一杯酒，西出陽関無故人。","渭城の朝の雨が、土埃を軽く潤している。旅館の前の柳は青々として、その色は鮮やかだ。
さあ君よ、もう一杯この酒を飲み干したまえ。西の方、陽関を出てしまえば、もう共に杯を交わす友はいないのだから。",这首诗又名《渭城曲》或《阳关三叠》，是唐代流传最广的送别名曲。语言清新洗练，情真意切，表达了对友人依依不舍的深厚情谊。
九月九日憶山東兄弟,王維,唐,"独在異郷為異客，毎逢佳節倍思親。
遥知兄弟登高処，遍挿茱萸少一人。","独り異郷にいて見知らぬ客となっていると、素晴らしい節句（重陽の節句）を迎えるたびに、一層故郷の家族が恋しくなる。
はるか遠くで兄弟たちが小高い山に登り、皆で魔除けの茱萸（かわはじかみ）を頭に挿しているだろうが、そこには私一人だけが欠けているのだと、遠く思いを馳せるのだ。",这首诗写于王维十七岁时。“每逢佳节倍思亲”极其自然而又深刻地写出了游子在节日里对家乡亲人的强烈思念，成为千古名句。
静夜思,李白,唐,"床前明月光，疑是地上霜。
挙頭望明月，低頭思故郷。","寝台の前に差し込む名月の光を見て、地上に降りた霜かと思った。
頭を上げては明るい月を眺め、頭を下げては故郷に思いを馳せる。",李白的代名词。旅途中独处秋夜，以极简的语言刻画了由疑霜到望月、再到低头沉思的心理过程。没有华丽辞藻，却凝聚了人类共通的深沉乡愁。
